,contractSymbol,strike,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expirationDate,CALL,mark
89,A210820P00075000,75.0,0.45,0.8,,2,0.6450230810546875,False,2021-08-20,False,0.625
90,A210820P00080000,80.0,0.05,0.35,2.0,2,0.5205126074218749,False,2021-08-20,False,0.19999999999999998
91,A210820P00085000,85.0,0.0,0.0,1.0,370,0.12500875,False,2021-08-20,False,0.0
92,A210820P00090000,90.0,0.2,0.7,2.0,13,0.4733939379882813,False,2021-08-20,False,0.44999999999999996
93,A210820P00095000,95.0,0.15,1.2,20.0,60,0.47559118164062497,False,2021-08-20,False,0.6749999999999999
94,A210820P00100000,100.0,0.6,1.85,3.0,45,0.4721732470703125,False,2021-08-20,False,1.225
95,A210820P00105000,105.0,0.9,1.1,5.0,36,0.3493717407226562,False,2021-08-20,False,1.0
96,A210820P00110000,110.0,1.35,1.75,1.0,29,0.340826904296875,False,2021-08-20,False,1.55
97,A210820P00115000,115.0,2.0,2.25,4.0,45,0.30933307861328124,False,2021-08-20,False,2.125
98,A210820P00120000,120.0,3.0,3.2,8.0,60,0.2905954730224609,False,2021-08-20,False,3.1
99,A210820P00125000,125.0,4.3,5.2,4.0,107,0.30023893127441403,False,2021-08-20,False,4.75
100,A210820P00130000,130.0,6.2,6.7,2.0,417,0.2706371765136719,False,2021-08-20,False,6.45
101,A210820P00135000,135.0,8.7,9.3,5.0,59,0.26380130737304686,True,2021-08-20,False,9.0
102,A210820P00140000,140.0,11.9,12.3,2.0,27,0.25153336364746093,True,2021-08-20,False,12.100000000000001
103,A210820P00145000,145.0,25.1,25.7,2.0,12,0.6236609899902343,True,2021-08-20,False,25.4
104,A210820P00150000,150.0,19.7,20.2,6.0,8,0.24793232543945312,True,2021-08-20,False,19.95
105,A210820P00155000,155.0,33.4,33.9,,1,0.6656527575683595,True,2021-08-20,False,33.65
106,A210820P00160000,160.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,2021-08-20,False,0.0
107,A211119C00095000,95.0,37.6,41.5,17.0,17,0.5617719604492188,True,2021-11-19,True,39.55
108,A211119C00105000,105.0,30.5,31.8,,1,0.4563042651367188,True,2021-11-19,True,31.15
109,A211119C00120000,120.0,16.0,16.6,13.0,25,0.2802806347656249,True,2021-11-19,True,16.3
110,A211119C00130000,130.0,9.4,10.3,1.0,6,0.2601392346191406,True,2021-11-19,True,9.850000000000001
111,A211119C00135000,135.0,7.4,8.4,2.0,5,0.2683178637695312,False,2021-11-19,True,7.9
112,A211119C00140000,140.0,5.2,6.1,19.0,67,0.2555006091308594,False,2021-11-19,True,5.65
113,A211119C00145000,145.0,3.8,4.2,1.0,3,0.24262231994628902,False,2021-11-19,True,4.0
114,A211119C00150000,150.0,2.65,2.95,1.0,8,0.2381667980957031,False,2021-11-19,True,2.8
115,A211119C00165000,165.0,0.75,1.05,2.0,2,0.2386550744628906,False,2021-11-19,True,0.9
116,A211119C00175000,175.0,0.05,1.15,,1,0.2876047802734374,False,2021-11-19,True,0.6
117,A211119P00065000,65.0,0.0,1.1,,1,0.551762294921875,False,2021-11-19,False,0.55
118,A211119P00075000,75.0,0.25,0.7,,5,0.4738822143554688,False,2021-11-19,False,0.475
119,A211119P00080000,80.0,0.3,0.8,,1,0.43921459228515625,False,2021-11-19,False,0.55
120,A211119P00085000,85.0,0.2,1.45,,3,0.45386288330078123,False,2021-11-19,False,0.825
